,TransactionNumber,UserID,Age,Gender,Occupation,EducationLevel,MaritalStatus,NumDependents,TransactionDate,MerchantID,TransactionType,TransactionLocation,DeviceType,Latitude,Longitude,Terrorism,UserTenure,IsFraud,Income,Expenditure,GiftsTransaction,TransactionAmount,Cleaned_TransactionTime,Transaction_Time_of_Day
0,8765,70,37,Female,Professional,Bachelor,Widowed,3,2023-03-12,M006,Withdrawal,Adelaide,Mobile,-31.840233,145.612793,0,113,1,28884.43,14610.61,2058.02,258.14,2024-09-14 12:25:57,Afternoon
1,9645,3386,34,Male,Student,High School,Married,4,2023-03-05,M002,Withdrawal,Canberra,Mobile,-37.0201,144.9646,0,104,1,54919.07,39169.49,9740.63,34.94,2024-09-14 18:27:24,Evening
2,1145,2971,25,Male,Unemployed,Master,Married,2,2023-11-10,M008,Purchase,Brisbane,Mobile,-31.840233,145.612793,0,105,0,74728.57,55873.76,2253.71,323.82,2024-09-14 17:16:56,Afternoon
3,15308,2925,25,Male,Professional,High School,Married,3,2023-10-07,M001,Purchase,Darwin,Mobile,-37.0201,144.9646,0,70,1,55712.62,36756.11,4335.7,13.32,2024-09-14 00:34:17,Night
4,14967,2339,38,Male,Professional,High School,Single,4,2023-09-22,M001,Withdrawal,Melbourne,Tablet,-37.0201,144.9646,0,27,0,53004.7,17876.42,4763.48,467.71,2024-09-14 18:40:08,Evening
5,15336,234,32,Female,Student,Bachelor,Single,1,2023-06-30,M003,Withdrawal,Melbourne,Tablet,-37.0201,144.9646,0,35,1,101381.56,33224.88,196.29,27.63,2024-09-14 03:59:57,Night
6,17281,1617,18,Male,Professional,High School,Single,1,2023-11-21,M007,Purchase,Sydney,Tablet,-31.840233,145.612793,0,53,0,63035.98,37560.16,3009.44,368.84,2024-09-14 15:00:38,Afternoon
7,4829,877,39,Male,Professional,High School,Single,4,2023-12-15,M007,Payment,Hobart,Desktop,-37.0201,144.9646,0,19,0,61284.85,36604.93,2379.97,19.41,2024-09-14 19:28:28,Evening
8,12301,4394,39,Male,Student,Bachelor,Single,2,2023-02-28,M008,Withdrawal,Sydney,Mobile,-37.0201,144.9646,1,28,1,28419.25,11172.93,1177.8,111.73,2024-09-14 01:51:57,Night
9,9933,103,21,Male,Student,High School,Single,3,2023-09-10,M005,Transfer,Canberra,Mobile,-30.000233,136.209152,0,99,0,57384.51,40721.71,21206.26,110.54,2024-09-14 10:57:08,Morning
10,10840,3288,52,Female,Professional,Master,Single,1,2023-10-24,M008,Purchase,Canberra,Mobile,-31.840233,145.612793,0,107,0,40702.41,21169.11,124.56,97.07,2024-09-14 16:28:04,Afternoon
11,8798,358,56,Male,Student,Bachelor,Widowed,3,2023-09-29,M008,Withdrawal,Darwin,Mobile,-20.917574,142.702789,0,20,1,58628.6,17873.88,2121.56,672.06,2024-09-14 22:29:05,Evening
12,16671,1732,41,Male,Student,Bachelor,Married,2,2023-12-24,M006,Purchase,Hobart,Mobile,-20.917574,142.702789,0,80,0,85310.21,33173.62,4847.91,427.06,2024-09-14 20:08:05,Evening
13,12962,2407,24,Female,Student,High School,Widowed,0,2023-05-07,M006,Purchase,Hobart,Mobile,-31.840233,145.612793,0,47,1,52760.64,24006.32,3102.37,1255.79,2024-09-14 00:58:38,Night
14,4605,3336,31,Male,Professional,High School,Single,0,2023-12-12,M004,Transfer,Hobart,Mobile,-37.0201,144.9646,1,18,0,93197.13,68415.46,6476.51,527.72,2024-09-14 21:06:00,Evening
15,9477,210,34,Male,Retired,High School,Single,2,2023-12-18,M007,Purchase,Canberra,Desktop,-20.917574,142.702789,0,73,0,52587.15,38033.86,3958.77,192.2,2024-09-14 08:56:27,Morning
16,8238,4228,35,Male,Retired,Bachelor,Single,3,2023-10-30,M008,Purchase,Melbourne,Mobile,-37.0201,144.9646,1,108,0,118437.1,39882.13,5372.14,19.48,2024-09-14 19:38:10,Evening
17,10643,2006,41,Female,Professional,Bachelor,Single,2,2023-04-15,M008,Purchase,Sydney,Desktop,-37.0201,144.9646,0,9,1,68140.84,21877.39,4646.04,3.41,2024-09-14 05:14:44,Night
18,1835,65,21,Female,Professional,Bachelor,Divorced,1,2023-10-28,M006,Purchase,Brisbane,Tablet,-37.0201,144.9646,1,100,1,53705.83,41566.98,3825.43,65.21,2024-09-14 05:42:44,Night
